,제목,기간,주소
0,2023년 청와대 밤의 산책,2023. 12. 6. ~ 2023. 12. 11.,서울특별시 종로구 청와대로 1 청와대
1,2023 도서관 정책세미나,2023. 12. 7. ~ 2023. 12. 7.,서울특별시 서초구 반포대로 201 (반포동)
2,서울일러스트레이션페어V.16,2023. 12. 21. ~ 2023. 12. 24.,서울특별시 강남구 영동대로 513 (삼성동)
3,썬셋&썬라이즈워크,2023. 12. 28. ~ 2024. 1. 4.,서울특별시 용산구 남산공원길 105 (용산동2가)
4,2024 코리아그랜드세일,2024. 1. 11. ~ 2024. 2. 29.,서울특별시 종로구 인사동5길 29 태화빌딩
5,제이닷 트리 팝업,2023. 10. 15. ~ 2023. 12. 31.,서울특별시 종로구 사직로2길 12 (행촌동)
6,K-일러스트레이션페어 서울 2024,2024. 2. 22. ~ 2024. 2. 25.,서울특별시 강남구 영동대로 513 코엑스
7,2023 신사리 상권 릴레이 이벤트,2023. 8. 24. ~ 2023. 12. 30.,서울특별시 관악구 신림동
8,굿즈이즈굿,2024. 3. 21. ~ 2024. 3. 24.,SETEC 컨벤션센터
9,코리아비건페어 2024,2024. 4. 11. ~ 2024. 4. 13.,서울특별시 강남구 영동대로 513
10,서울국제가구 및 인테리어산업대전 : 소펀&라이프쇼,2024. 5. 2. ~ 2024. 5. 5.,서울특별시 강남구 영동대로 513 코엑스
11,2023 김포공항 문화의 날 26데이,2023. 5. 26. ~ 2023. 12. 26.,김포공항
12,2023 초·중·고등학생 문화공연 관람 지원 [공연봄날],2023. 4. 1. ~ 2023. 12. 31.,
13,토요명품,2023. 1. 7. ~ 2023. 12. 30.,서울특별시 서초구 남부순환로 2364
14,옥탑방고양이,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 대학로10길 24
15,연극 수상한 흥신소,2023. 1. 1. ~ 2023. 12. 31.,대학로 익스트림씨어터 1관
16,남산봉수의식 등 전통문화 재현행사,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 종로 54 보신각
17,왕궁 수문장 교대의식,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 중구 세종대로 99
18,뮤직드라마 '당신만이',2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 이화장길 26
19,창덕궁 깊이보기 -심화해설-,2022. 12. 1. ~ 2023. 12. 31.,서울특별시 종로구 율곡로 99 창덕궁
20,난타 (명동),2022. 12. 1. ~ 2024. 2. 29.,서울특별시 중구 명동길 26
21,영재국악회 국악공연,2022. 5. 1. ~ 2023. 12. 31.,남산골한옥마을내 남산국악당-크라운해태홀
22,K-컬처 뮤지엄,2022. 1. 14. ~ 2023. 12. 31.,서울특별시 종로구 사직로 130 3호선 경복궁역
23,창경궁 야간 상시관람,2021. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 창경궁로 185
24,2023 코리아 프리미어 도그쇼,2023. 12. 1. ~ 2023. 12. 3.,서울특별시 서초구 강남대로 27
25,K-핸드메이드페어 2023,2023. 11. 30. ~ 2023. 12. 3.,서울특별시 강남구 영동대로 513
26,한국·프랑스 공동창작 공연 <제자리>,2023. 11. 24. ~ 2023. 11. 25.,서울특별시 서대문구 충정로 7 (충정로3가)
27,2023 보드게임페스타(시즌2),2023. 11. 18. ~ 2023. 11. 19.,서울특별시 강남구 남부순환로 3104 (대치동)
28,2023 제20회 대한민국향토식문화대전(&남북음식문화축제),2023. 11. 10. ~ 2023. 11. 12.,서울특별시 서초구 강남대로 27 AT센터
29,제44회 서울무용제,2023. 11. 10. ~ 2023. 11. 26.,서울특별시 종로구 대학로8길 7
30,2023 서점의 날,2023. 11. 10. ~ 2023. 11. 10.,서울특별시 종로구 종로 1 (종로1가)
31,성북청춘불패영화제,2023. 11. 9. ~ 2023. 11. 15.,서울특별시 성북구 아리랑로 82 (돈암동)
32,제 15회 언리미티드 에디션 - 서울아트북페어 2023,2023. 11. 3. ~ 2023. 11. 5.,서울특별시 노원구 동일로 1238 서울시립 북서울미술관
33,제3회 금천패션영화제,2023. 11. 3. ~ 2023. 11. 6.,서울특별시 금천구 디지털로9길 90 (가산동)
34,KOREA AI SUMMIT 2023,2023. 11. 2. ~ 2023. 11. 3.,서울특별시 강남구 테헤란로 231 (역삼동)
35,서울디자인 2023,2023. 10. 24. ~ 2023. 11. 2.,서울특별시 중구 을지로 281 (을지로7가)
36,DDP패션몰 ESG프로모션 행사,2023. 10. 23. ~ 2023. 10. 31.,서울특별시 중구 마장로 22 (신당동)
37,2023 KOREA 월드푸드챔피언십,2023. 10. 21. ~ 2023. 10. 22.,서울특별시 서초구 강남대로 27 AT센터
38,"2023년 유니버설디자인 공감주간 <모두를 잇다, 있다>",2023. 10. 21. ~ 2023. 11. 5.,서울특별시 서초구 남부순환로 2406 (서초동)
39,"가을 , 명동으로",2023. 10. 21. ~ 2023. 10. 22.,"명동역 상상광장 ,재미랑3호 김청기 기념관 동심"
40,얼루어 뷰티 페어,2023. 10. 20. ~ 2023. 10. 20.,서울특별시 성동구 아차산로9길 41 (성수동2가)
41,2023 서울안보대화 (Seoul Defense Dialogue 2023),2023. 10. 17. ~ 2023. 10. 19.,서울특별시 강남구 테헤란로 521 (삼성동)
42,2023 The Color Run,2023. 10. 15. ~ 2023. 10. 15.,서울특별시 송파구 올림픽로 448 (방이동)
43,2023 브릿지워크한강,2023. 10. 14. ~ 2023. 10. 14.,서울특별시 영등포구 노들로 113 양화개나리점
44,2022년 제 2회 승가원 온&오프라인 기부하이킹,2023. 10. 14. ~ 2023. 10. 14.,서울특별시 서대문구 봉원동
45,2023 서울도시농업박람회,2023. 10. 13. ~ 2023. 10. 14.,서울특별시 중구 을지로 281 (을지로7가)
46,청년일자리페스타,2023. 10. 13. ~ 2023. 10. 13.,레드로드R4(축제거리)
47,제18회 임산부의 날 기념행사,2023. 10. 10. ~ 2023. 10. 10.,서울특별시 영등포구 의사당대로 16 (여의도동)
48,메이커 페어 서울(Maker Faire Seoul),2023. 10. 8. ~ 2023. 10. 9.,서울특별시 노원구 한글비석로 160 서울시립과학관
49,2023 정조대왕능행차 공동재현,2023. 10. 8. ~ 2023. 10. 9.,서울특별시 종로구 율곡로 99
50,제 1회 서리풀독서골든벨,2023. 10. 7. ~ 2023. 10. 7.,서울특별시 서초구 반포동 산60-1 국립중앙도서관
51,서울디자인어워드,2023. 10. 1. ~ 2023. 10. 31.,서울특별시 중구 을지로 281
52,"2023 위대한 유산, 오늘과 만나다",2023. 9. 28. ~ 2023. 10. 22.,서울특별시 서초구 남부순환로 2364 국립국악원
53,제3회 조달의 날,2023. 9. 25. ~ 2023. 9. 26.,서울특별시 중구 을지로 281
54,Creative X Seongsu,2023. 9. 18. ~ 2023. 9. 24.,서울특별시 성동구 연무장15길 11 (성수동2가)
55,한강달빛야시장,2023. 9. 16. ~ 2023. 10. 22.,서울특별시 영등포구 한강남자전거길 1451 한강르네상스 여의도3호 매점
56,돈의Moon나이트,2023. 9. 16. ~ 2023. 10. 14.,서울특별시 종로구 송월길 14-3 국도빌딩
57,2023 아시아 태평양 해양디지털 국제 콘퍼런스,2023. 9. 12. ~ 2023. 9. 13.,서울특별시 중구 동호로 287
58,2023년 제1회 은평청년영화제,2023. 9. 10. ~ 2023. 9. 12.,서울특별시 은평구 통일로 1050 롯데몰 은평점
59,요즘엔 이렇게 배워요 : 놀면서 배우기(K-에듀테크 스타트업 전시·체험),2023. 9. 9. ~ 2023. 9. 10.,서울특별시 용산구 한강대로38길 21
60,2023 피맥무비페스티벌 영화제,2023. 9. 9. ~ 2023. 9. 9.,서울특별시 서초구 서초대로77길 3 아라타워
61,한강불빛공연 드론 라이트쇼,2023. 9. 8. ~ 2023. 11. 3.,한강뚝섬공원 수변무대
62,"청년, 신라문화 TALK TALK",2023. 9. 6. ~ 2023. 9. 6.,서울특별시 강남구 봉은사로 406 국가무형문화재전수교육관
63,돈의문골목시장,2023. 9. 2. ~ 2023. 10. 28.,서울특별시 종로구 송월길 14-3 국도빌딩
64,제26회 서울세계무용축제(SIDance2023),2023. 9. 1. ~ 2023. 9. 17.,서울특별시 종로구 대학로10길 17 (동숭동)
65,제5회 금천과학축제「2023. G-Science Festival」,2023. 8. 31. ~ 2023. 9. 2.,서울특별시 금천구 시흥대로73길 70 금천구청종합청사
66,제3회 그린암모니아 국제컨퍼런스,2023. 8. 24. ~ 2023. 8. 24.,서울특별시 중구 소공로 106 서울 웨스틴조선호텔
67,제4회 수소경제와 한국의 수소기술 심포지엄,2023. 8. 23. ~ 2023. 8. 23.,서울특별시 중구 소공로 106 서울 웨스틴조선호텔
68,2023 KOPIS 공연예술 데이터 포럼,2023. 8. 23. ~ 2023. 8. 23.,서울특별시 중구 을지로5길 19 FERRUM TOWER
69,밤의 수문장 위크(WEEK),2023. 8. 15. ~ 2023. 8. 20.,서울특별시 중구 세종대로 99 덕수궁
70,2023 한강나이트워크42K,2023. 8. 5. ~ 2023. 8. 6.,서울특별시 영등포구 여의공원로 68 여의도공원관리사무소
71,제14회 서울청소년연극축제,2023. 7. 25. ~ 2023. 7. 30.,서울특별시 종로구 대학로 144 중원빌딩
72,제 2회 어쩌다 연극 페스티벌 - 대학로 5대 희극전,2023. 7. 25. ~ 2023. 8. 27.,서울특별시 종로구 창경궁로 254 동원빌딩
73,2023 서울 FCI 국제 도그쇼 및 제 103회 KKF 전국 애견미용 콘테스트,2023. 7. 14. ~ 2023. 7. 16.,서울특별시 서초구 강남대로 27 AT센터
74,K-뮤지컬국제마켓,2023. 6. 27. ~ 2023. 7. 1.,서울특별시 종로구 세종대로 175 세종문화회관
75,2023 서울국제주류&와인박람회,2023. 6. 22. ~ 2023. 6. 24.,서울특별시 강남구 영동대로 513 코엑스
76,2023년 한국해사주간 및 장관급 콘퍼런스(2023 Korea Maritime Week and the Ministerial Conference),2023. 6. 14. ~ 2023. 6. 16.,서울특별시 중구 동호로 249 신라호텔
77,2023 서울국제도서전,2023. 6. 14. ~ 2023. 6. 18.,"서울특별시 강남구  영동대로 (513, 코엑스)"
78,제 30회 서울디저트페어 [초코&바나나전],2023. 5. 26. ~ 2023. 5. 28.,서울특별시 강남구 남부순환로 3104 SETEC
79,2023 강남디자인위크,2023. 5. 26. ~ 2023. 5. 30.,서울특별시 강남구 논현동
80,2023 더현대 플로깅 with Green Friends,2023. 5. 26. ~ 2023. 7. 16.,서울특별시 중구 청계천로 40 한국관광공사 서울센터
81,제37회 서울국제화장품미용산업박람회 (코스모뷰티서울 2023),2023. 5. 25. ~ 2023. 5. 27.,서울특별시 강남구 영동대로 513 코엑스
82,하나증권 테니스 페스티벌 in Olympic park,2023. 5. 20. ~ 2023. 5. 21.,서울특별시 송파구 올림픽로 424 올림픽공원
83,2023 대한민국 국제요리&제과 경연대회,2023. 5. 19. ~ 2023. 5. 21.,서울특별시 서초구 강남대로 27 AT센터
84,양재천천마켙,2023. 5. 13. ~ 2023. 7. 1.,양재천 팝업존 (영동1교 ~ 수변무대)
85,2023 보드게임콘,2023. 5. 6. ~ 2023. 5. 7.,서울특별시 강남구 남부순환로 3104 SETEC
86,G-KPOP콘서트,2023. 5. 5. ~ 2023. 5. 7.,서울특별시 강남구 영동대로 513 코엑스
87,2023 서울서커스페스티벌,2023. 5. 5. ~ 2023. 5. 7.,서울특별시 종로구 송현동 49-19
88,K-전통공예 전시회 《북촌 스타일룸》,2023. 5. 1. ~ 2023. 5. 31.,서울특별시 종로구 북촌로12길 24-5
89,2023서울쇼핑페스타,2023. 4. 30. ~ 2023. 5. 7.,서울특별시 종로구 청계천로 85 삼일빌딩
90,서울페스타 2023 명동 페스티벌,2023. 4. 28. ~ 2023. 5. 7.,서울특별시 중구 남대문로 81 롯데백화점 본점
91,얼루어 그린 캠페인,2023. 4. 24. ~ 2023. 4. 24.,서울특별시 중구 예장동
92,스포츠주간기념 국민체력100과 다시 즐겨 봄,2023. 4. 23. ~ 2023. 4. 23.,서울특별시 송파구 방이동
93,2023 광화문 책마당,2023. 4. 23. ~ 2023. 11. 12.,서울특별시 종로구 세종로
94,2023 LOTTE WORLD TOWER SKY RUN,2023. 4. 22. ~ 2023. 4. 22.,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰
95,2023문화가 흐르는 예술마당,2023. 4. 19. ~ 2023. 11. 29.,서울특별시 용산구 양녕로 445
96,2023 스프링워크서울,2023. 4. 15. ~ 2023. 4. 15.,서울특별시 영등포구 여의도동
97,2023 내나라 여행박람회,2023. 4. 13. ~ 2023. 4. 16.,서울특별시 중구 을지로 281
98,C.P. COMPANY ARCHIVE EXHIBITION SEOUL,2023. 4. 13. ~ 2023. 4. 16.,C.P. COMPANY FLAGSHIP STORE
99,2023부활절퍼레이드,2023. 4. 9. ~ 2023. 4. 9.,서울특별시 종로구 세종대로 175
100,YTN 남산가족걷기대회,2023. 4. 8. ~ 2023. 4. 8.,서울특별시 중구 회현동1가
101,천변라이프강북페스타2023 <우이천꽂히다>,2023. 4. 7. ~ 2023. 4. 9.,서울특별시 강북구 수유동
102,2023 영등포 관광 세일 페스타,2023. 4. 1. ~ 2023. 10. 31.,N/A
103,제 10회 서울국제불교박람회,2023. 3. 30. ~ 2023. 4. 2.,서울특별시 강남구 남부순환로 3104
104,제3회 아세안 영화주간,2023. 3. 23. ~ 2023. 4. 8.,서울특별시 종로구 새문안로 68 흥국생명빌딩
105,제7회 베지노믹스페어 비건페스타,2023. 3. 17. ~ 2023. 3. 19.,서울특별시 강남구 남부순환로 3104
106,생생문화재 중랑구 체험학습,2023. 1. 28. ~ 2023. 12. 2.,서울특별시 중랑구 망우로91길 2
107,2022 서울아트쇼,2022. 12. 21. ~ 2022. 12. 25.,서울특별시 강남구 영동대로 513
108,서울디자인페스티벌,2022. 12. 20. ~ 2022. 12. 23.,서울특별시 강남구 영동대로 513
109,대한민국무용대상,2022. 12. 9. ~ 2022. 12. 9.,서울특별시 종로구 대학로8길 7 한국문예회관
110,2022 대한민국 산업기술 R&D대전,2022. 12. 7. ~ 2022. 12. 9.,서울특별시 강남구 영동대로 513
111,2022 대한민국 관광기념품 박람회,2022. 12. 2. ~ 2022. 12. 3.,서울특별시 중구 을지로 281
112,한국국제걷기대회,2022. 10. 29. ~ 2022. 10. 30.,서울특별시 송파구 충민로 66
113,제12회 서울미래연극제 (The 12th ST-Future),2022. 10. 20. ~ 2022. 11. 13.,서울특별시 종로구 대학로 57 홍익대학교대학로캠퍼스
114,세텍메가쇼 2022 시즌2,2022. 8. 25. ~ 2022. 8. 28.,서울특별시 강남구 남부순환로 3104
115,2022 SAC FESTA 밤도깨비 상영회,2022. 7. 2. ~ 2022. 8. 13.,서울특별시 서초구 남부순환로 2406 예술의전당
116,2022년 북촌 한옥 역사관 상반기 특별행사,2022. 5. 31. ~ 2022. 6. 10.,북촌한옥역사관
117,2022 국토발전전시관 문화행사,2022. 5. 28. ~ 2022. 5. 29.,서울특별시 중구 정동길 18 국토발전전시관
118,한국음식관광박람회,2022. 5. 27. ~ 2022. 5. 29.,서울특별시 서초구 강남대로 27
119,2022 예술한류 콜로키엄 [상반기],2022. 5. 27. ~ 2022. 5. 27.,서울특별시 성북구 화랑로32길 146-37 한국예술종합학교
120,MODAFE 2022 (제41회 국제현대무용제),2022. 5. 13. ~ 2022. 6. 18.,서울특별시 종로구 대학로8길 7 한국문예회관
121,서울 국제 푸드 앤 테이블웨어 박람회,2022. 5. 7. ~ 2022. 5. 8.,서울특별시 서초구 강남대로 27
122,제15차 세계산림총회,2022. 5. 2. ~ 2022. 5. 6.,서울특별시 강남구 영동대로 513
123,제43회 서울연극제,2022. 4. 28. ~ 2022. 5. 29.,서울특별시 종로구 대학로10길 17 동숭동복합건물
124,광태소극장 독립영화관 2022 감독전,2022. 4. 24. ~ 2022. 11. 27.,서울특별시 관악구 호암로22길 51
125,서울 명산트레킹,2022. 4. 23. ~ 2022. 9. 12.,서울특별시 중구 퇴계로34길 28
126,"근현대사 추리여행, '사라진 열쇠를 찾아라'",2022. 4. 23. ~ 2022. 12. 31.,서울특별시 강북구 삼양로 561
127,트레일 퀸즈 페스타,2022. 4. 16. ~ 2022. 4. 16.,서울특별시 서초구 바우뫼로12길 70 더케이서울호텔
128,젊은안무자창작공연,2022. 4. 13. ~ 2022. 4. 20.,서울특별시 종로구 대학로10길 17 동숭동복합건물
129,2022 서울커피엑스포,2022. 3. 30. ~ 2022. 4. 2.,서울특별시 강남구 영동대로 513
130,여성마라톤대회,2022. 3. 21. ~ 2022. 4. 17.,온라인개최
131,무브컬쳐 축제학교 시즌2: 우리의 문화기획 스토리,2022. 3. 12. ~ 2022. 3. 12.,"서울특별시 강남구  논현로 (134, 연산MS)"
132,늘근도둑 이야기,2022. 3. 5. ~ 2022. 12. 31.,대학로 아트포레스트 1관
133,문화로 토닥토닥 “찾아가는 공연”,2021. 4. 25. ~ 2021. 5. 5.,온라인개최
134,일본군 '위안부' 기억의 터 문화해설 프로그램,2021. 4. 6. ~ 2021. 11. 29.,서울특별시 중구 퇴계로26가길 6
135,"종로의 이야기꾼, 전기수!",개최여부 확인 중 입니다.,종로구청
